Experiment: DisplayExperiment
Date: 30.08.2018
Time: 11:51:10
Width: 1920
Height: 1080
Depth: 32
Rate: 60
Monitors: SAM_SycMastr_H9XS904970 | VX_ROCtr_16843009
Trials: 1000

Trial,Time,SensorBrightness
2,813068,0
2,813340,0
2,813612,0
2,813884,0
2,814156,0
2,814428,0
2,814700,0
2,814972,0
2,815244,0
2,815516,0
2,815788,0
2,816060,0
2,816332,0
2,816604,0
2,816876,0
2,817148,0
2,817428,0
2,817700,0
2,817972,0
2,818244,0
2,818516,0
2,818788,0
2,819060,0
2,819332,0
2,819604,0
2,819876,0
2,820148,0
2,820420,0
2,820692,0
2,820964,0
2,821236,0
2,821532,0
2,821804,0
2,822076,0
2,822348,0
2,822620,0
2,822892,0
2,823164,0
2,823436,0
2,823708,0
2,823980,0
2,824252,0
2,824524,0
2,824796,0
2,825068,0
2,825340,0
2,825620,0
2,825892,0
2,826164,0
2,826436,0
2,826708,1
2,826980,0
2,827252,0
2,827524,0
2,827796,0
2,828068,0
2,828340,0
2,828612,0
2,828884,1
2,829156,0
2,829428,0
2,829724,0
2,829996,0
2,830268,0
2,830540,0
2,830812,0
2,831084,0
2,831356,0
2,831628,0
2,831900,0
2,832172,0
2,832444,0
2,832716,0
2,832988,0
2,833260,0
2,833532,0
2,833812,0
2,834084,0
2,834356,0
2,834628,0
2,834900,0
2,835172,0
2,835444,0
2,835716,0
2,835988,0
2,836260,0
2,836532,0
2,836804,0
2,837076,0
2,837348,0
2,837620,0
2,837916,0
2,838188,0
2,838460,0
2,838732,0
2,839004,0
2,839276,0
2,839548,0
2,839820,0
2,840092,0
2,840364,0
2,840636,0
2,840908,1
2,841180,0
2,841452,0
2,841724,0
2,842004,0
2,842276,0
2,842548,0
2,842820,0
2,843092,0
2,843364,0
2,843636,0
2,843908,0
2,844180,0
2,844452,0
2,844724,0
2,844996,219
2,845268,369
2,845540,359
2,845812,205
2,846108,220
2,846380,274
2,846652,100
2,846924,111
2,847196,111
2,847468,270
2,847740,100
2,848012,220
2,848284,331
2,848556,283
2,848828,105
2,849100,219
2,849372,297
2,849644,268
2,849916,100
2,850196,219
2,850468,324
2,850740,302
2,851012,98
2,851284,218
2,851556,537
2,851828,128
2,852100,100
2,852372,219
2,852644,178
2,852916,219
2,853188,270
2,853460,98
2,853732,111
3,934420,0
3,934692,0
3,934964,0
3,935236,0
3,935508,0
3,935780,0
3,936060,0
3,936332,0
3,936604,0
3,936876,0
3,937148,0
3,937420,0
3,937692,0
3,937964,0
3,938260,0
3,938532,0
3,938804,0
3,939076,0
3,939348,0
3,939620,0
3,939892,0
3,940164,0
3,940436,0
3,940708,0
3,940980,0
3,941252,0
3,941524,0
3,941796,0
3,942068,0
3,942364,0
3,942636,0
3,942908,0
3,943180,0
3,943452,0
3,943724,0
3,943996,0
3,944268,0
3,944540,0
3,944812,0
3,945084,0
3,945356,0
3,945628,0
3,945900,0
3,946172,0
3,946452,0
3,946724,0
3,946996,0
3,947268,0
3,947540,1
3,947812,0
3,948084,0
3,948356,0
3,948628,0
3,948900,0
3,949172,0
3,949444,0
3,949716,0
3,949988,0
3,950260,0
3,950556,0
3,950828,0
3,951100,0
3,951372,0
3,951644,2
3,951916,0
3,952188,0
3,952460,0
3,952732,0
3,953004,0
3,953276,0
3,953548,0
3,953820,0
3,954092,0
3,954364,0
3,954644,0
3,954916,0
3,955188,0
3,955460,1
3,955732,0
3,956004,0
3,956276,0
3,956548,0
3,956820,0
3,957092,0
3,957364,0
3,957636,0
3,957908,0
3,958180,0
3,958452,0
3,958748,0
3,959020,0
3,959292,0
3,959564,1
3,959836,0
3,960108,0
3,960380,0
3,960652,0
3,960924,0
3,961196,0
3,961468,218
3,961740,111
3,962012,271
3,962284,97
3,962556,220
3,962836,362
3,963108,356
3,963380,204
3,963652,221
3,963924,538
3,964196,194
3,964468,220
3,964740,110
3,965012,518
3,965284,192
3,965556,220
3,965828,131
3,966100,532
3,966372,194
3,966644,220
3,966940,117
3,967212,278
3,967484,105
3,967756,220
3,968028,269
3,968300,349
3,968572,194
3,968844,219
3,969116,109
3,969388,219
3,969660,315
3,969932,160
3,970204,125
3,970476,218
3,970748,273
3,971028,98
3,971300,110
3,971572,109
3,971844,269
3,972116,98
3,972388,220
3,972660,297
3,972932,331
3,973204,102
3,973476,219
3,973748,343
3,974020,268
3,974292,99
3,974564,219
3,974836,328
3,975132,357
4,1039292,1
4,1039564,0
4,1039836,0
4,1040108,0
4,1040380,0
4,1040660,0
4,1040932,0
4,1041204,0
4,1041476,0
4,1041748,0
4,1042020,0
4,1042292,0
4,1042564,0
4,1042836,0
4,1043108,0
4,1043380,0
4,1043652,0
4,1043924,0
4,1044196,0
4,1044468,0
4,1044764,0
4,1045036,0
4,1045308,0
4,1045580,0
4,1045852,0
4,1046124,0
4,1046396,0
4,1046668,0
4,1046940,0
4,1047212,0
4,1047484,0
4,1047756,0
4,1048028,0
4,1048300,0
4,1048572,0
4,1048852,0
4,1049124,0
4,1049396,0
4,1049668,0
4,1049940,0
4,1050212,0
4,1050484,0
4,1050756,0
4,1051028,0
4,1051300,0
4,1051572,0
4,1051844,0
4,1052116,1
4,1052388,0
4,1052660,0
4,1052956,0
4,1053228,0
4,1053500,0
4,1053772,1
4,1054044,1
4,1054316,0
4,1054588,0
4,1054860,0
4,1055132,0
4,1055404,0
4,1055676,0
4,1055948,0
4,1056220,0
4,1056492,0
4,1056764,0
4,1057044,0
4,1057316,0
4,1057588,0
4,1057860,0
4,1058132,0
4,1058404,0
4,1058676,0
4,1058948,0
4,1059220,0
4,1059492,0
4,1059764,0
4,1060036,0
4,1060308,0
4,1060580,0
4,1060852,0
4,1061148,40
4,1061420,219
4,1061692,298
4,1061964,133
4,1062236,120
4,1062508,220
4,1062780,274
4,1063052,98
4,1063324,110
4,1063596,109
4,1063868,268
4,1064140,99
4,1064412,220
4,1064684,305
4,1064956,323
4,1065236,100
4,1065508,220
4,1065780,361
4,1066052,305
4,1066324,99
4,1066596,219
4,1066868,351
4,1067140,333
4,1067412,107
4,1067684,219
4,1067956,537
4,1068228,115
4,1068500,99
4,1068772,219
4,1069044,144
4,1069340,219
4,1069612,498
4,1069884,182
4,1070156,214
4,1070428,217
4,1070700,537
4,1070972,193
4,1071244,219
4,1071516,282
4,1071788,157
4,1072060,171
4,1072332,219
4,1072604,408
4,1072876,110
4,1073148,205
4,1073428,218
4,1073700,271
4,1073972,106
4,1074244,132
4,1074516,219
4,1074788,273
4,1075060,100
4,1075332,113
4,1075604,115
4,1075876,531
4,1076148,191
4,1076420,138
4,1076692,220
4,1076964,0
4,1077236,0
4,1077532,0
4,1077804,86
4,1078076,219
4,1078348,283
4,1078620,111
4,1078892,115
4,1079164,220
4,1079436,270
4,1079708,98
4,1079980,122
5,1142308,0
5,1142580,0
5,1142852,0
5,1143124,0
5,1143396,0
5,1143668,0
5,1143940,0
5,1144212,0
5,1144484,0
5,1144756,0
5,1145028,0
5,1145300,0
5,1145572,0
5,1145844,0
5,1146140,0
5,1146412,0
5,1146684,0
5,1146956,0
5,1147228,0
5,1147500,0
5,1147772,1
5,1148044,0
5,1148316,0
5,1148588,0
5,1148860,0
5,1149132,0
5,1149404,0
5,1149676,0
5,1149948,0
5,1150228,0
5,1150500,0
5,1150772,0
5,1151044,0
5,1151316,0
5,1151588,0
5,1151860,1
5,1152132,0
5,1152404,0
5,1152676,0
5,1152948,0
5,1153220,0
5,1153492,0
5,1153764,0
5,1154036,0
5,1154332,1
5,1154604,1
5,1154876,0
5,1155148,0
5,1155420,0
5,1155692,0
5,1155964,0
5,1156236,0
5,1156508,0
5,1156780,0
5,1157052,0
5,1157324,0
5,1157596,0
5,1157868,0
5,1158140,0
5,1158420,0
5,1158692,0
5,1158964,0
5,1159236,0
5,1159508,0
5,1159780,0
5,1160052,0
5,1160324,0
5,1160596,0
5,1160868,0
5,1161140,185
5,1161412,219
5,1161684,541
5,1161956,193
5,1162228,220
5,1162524,114
5,1162796,274
5,1163068,99
