Experiment: DisplayExperiment
Date: 30.08.2018
Time: 17:52:39
Width: 1280
Height: 720
Depth: 32
Rate: 120
Monitors: SAM_SycMastr_H9XS904970 | OTM_Optoa WXGA_Q8TV3170464
Trials: 100

Trial,Time,SensorBrightness
2,824036,25
2,824308,26
2,824604,25
2,824876,26
2,825148,26
2,825420,26
2,825692,26
2,825964,27
2,826236,26
2,826508,27
2,826780,27
2,827052,27
2,827324,27
2,827596,26
2,827868,27
2,828140,25
2,828412,27
2,828692,25
2,828964,25
2,829236,26
2,829508,26
2,829780,26
2,830052,26
2,830324,26
2,830596,26
2,830868,25
2,831140,31
2,831412,27
2,831684,27
2,831956,26
2,832228,28
2,832500,25
2,832796,26
2,833068,25
2,833340,27
2,833612,26
2,833884,26
2,834156,26
2,834428,26
2,834700,27
2,834972,26
2,835244,26
2,835516,27
2,835788,26
2,836060,26
2,836332,26
2,836604,26
2,836884,26
2,837156,25
2,837428,26
2,837700,26
2,837972,26
2,838244,26
2,838516,26
2,838788,25
2,839060,25
2,839332,28
2,839604,29
2,839876,27
2,840148,27
2,840420,26
2,840692,27
2,840988,25
2,841260,24
2,841532,25
2,841804,26
2,842076,25
2,842348,26
2,842620,26
2,842892,27
2,843164,26
2,843436,26
2,843708,28
2,843980,27
2,844252,27
2,844524,26
2,844796,26
2,845076,26
2,845348,25
2,845620,27
2,845892,26
2,846164,26
2,846436,26
2,846708,25
2,846980,25
2,847252,26
2,847524,26
2,847796,31
2,848068,28
2,848340,27
2,848612,27
2,848884,26
2,849180,25
2,849452,25
2,849724,27
2,849996,26
2,850268,26
2,850540,25
2,850812,26
2,851084,26
2,851356,26
2,851628,27
2,851900,27
2,852172,27
2,852444,26
2,852716,26
2,852988,26
2,853268,26
2,853540,26
2,853812,26
2,854084,27
2,854356,26
2,854628,26
2,854900,26
2,855172,26
2,855444,25
2,855716,26
2,855988,29
2,856260,28
2,856532,27
2,856804,28
2,857076,26
2,857372,26
2,857644,25
2,857916,25
2,858188,858
2,858460,858
2,858732,859
2,859004,859
2,859276,570
2,859548,858
2,859820,857
2,860092,858
2,860364,449
2,860636,39
2,860908,27
2,861180,26
2,861460,859
2,861732,69
2,862004,446
2,862276,859
2,862548,453
2,862820,859
2,863092,859
2,863364,858
2,863636,860
2,863908,44
2,864180,31
2,864452,32
2,864724,28
2,864996,28
2,865268,27
2,865564,27
2,865836,25
2,866108,25
2,866380,859
2,866652,858
2,866924,859
2,867196,859
2,867468,858
2,867740,485
2,868012,858
2,868284,858
2,868556,459
2,868828,81
2,869100,29
2,869372,27
2,869652,443
2,869924,554
2,870196,38
2,870468,859
2,870740,235
2,871012,859
2,871284,859
2,871556,859
2,871828,858
2,872100,160
2,872372,35
2,872644,32
2,872916,29
2,873188,28
2,873460,27
2,873756,27
2,874028,26
2,874300,25
2,874572,26
2,874844,26
2,875116,25
2,875388,26
2,875660,26
2,875932,28
2,876204,26
2,876476,26
2,876748,26
2,877020,27
2,877292,26
2,877564,26
2,877844,27
2,878116,25
2,878388,27
3,922956,26
3,923228,26
3,923500,28
3,923772,27
3,924044,26
3,924316,26
3,924588,26
3,924860,25
3,925132,25
3,925404,26
3,925676,28
3,925972,27
3,926244,27
3,926516,28
3,926788,27
3,927060,27
3,927332,28
3,927604,27
