Experiment: DisplayExperiment
Date: 30.08.2018
Time: 17:59:42
Width: 1920
Height: 1200
Depth: 32
Rate: 59
Monitors: SAM_SycMastr_H9XS904970
Trials: 10

Trial,Time,SensorBrightness
2,871276,14
2,871548,15
2,871820,14
2,872092,16
2,872364,14
2,872636,14
2,872908,15
2,873180,15
2,873452,13
2,873748,13
2,874020,15
2,874292,14
2,874564,15
2,874836,14
2,875108,14
2,875380,15
2,875652,15
2,875924,15
2,876196,14
2,876468,14
2,876740,14
2,877012,15
2,877284,14
2,877556,16
2,877852,15
2,878124,14
2,878396,15
2,878668,14
2,878940,14
2,879212,13
2,879484,15
2,879756,14
2,880028,16
2,880300,15
2,880572,15
2,880844,14
2,881116,13
2,881388,15
2,881660,15
2,881940,15
2,882212,14
2,882484,14
2,882756,16
2,883028,14
2,883300,14
2,883572,14
2,883844,15
2,884116,14
2,884388,15
2,884660,14
2,884932,15
2,885204,13
2,885476,15
2,885748,15
2,886044,14
2,886316,13
2,886588,15
2,886860,15
2,887132,13
2,887404,15
2,887676,15
2,887948,14
2,888220,14
2,888492,14
2,888764,14
2,889036,16
2,889308,12
2,889580,15
2,889852,15
2,890132,14
2,890404,14
2,890676,15
2,890948,14
2,891220,15
2,891492,14
2,891764,16
2,892036,14
2,892308,14
2,892580,14
2,892852,14
2,893124,14
2,893396,14
2,893668,14
2,893940,15
2,894236,15
2,894508,14
2,894780,14
2,895052,15
2,895324,14
2,895596,15
2,895868,13
2,896140,13
2,896412,15
2,896684,14
2,896956,14
2,897228,15
2,897500,12
2,897772,14
2,898044,15
2,898324,14
2,898596,15
2,898868,14
2,899140,15
2,899412,15
2,899684,13
2,899956,16
2,900228,15
2,900500,13
2,900772,15
2,901044,15
2,901316,13
2,901588,14
2,901860,13
2,902132,15
2,902428,15
2,902700,14
2,902972,15
2,903244,14
2,903516,14
2,903788,14
2,904060,15
2,904332,13
2,904604,15
2,904876,15
2,905148,14
2,905420,14
2,905692,15
2,905964,16
2,906236,15
2,906516,14
2,906788,14
2,907060,13
2,907332,15
2,907604,14
2,907876,14
2,908148,15
2,908420,14
2,908692,14
2,908964,15
2,909236,14
2,909508,13
2,909780,14
2,910052,16
2,910324,15
2,910620,15
2,910892,14
2,911164,14
2,911436,15
2,911708,14
2,911980,14
2,912252,14
2,912524,13
2,912796,15
2,913068,14
2,913340,14
2,913612,15
2,913884,16
2,914156,16
2,914428,15
2,914708,14
2,914980,15
2,915252,14
2,915524,15
2,915796,14
2,916068,15
2,916340,14
2,916612,15
2,916884,14
2,917156,17
2,917428,15
2,917700,13
2,917972,15
2,918244,14
2,918516,14
2,918812,14
2,919084,14
2,919356,13
2,919628,15
2,919900,15
2,920172,14
2,920444,15
2,920716,14
2,920988,16
2,921260,15
2,921532,15
2,921804,15
2,922076,14
2,922348,13
2,922620,15
2,922900,13
2,923172,15
2,923444,14
2,923716,14
2,923988,15
2,924260,13
2,924532,15
2,924804,15
2,925076,14
2,925348,15
2,925620,15
3,1080036,15
3,1080308,13
3,1080604,13
3,1080876,14
3,1081148,15
3,1081420,14
3,1081692,14
3,1081964,13
3,1082236,15
3,1082508,14
3,1082780,14
3,1083052,15
3,1083324,13
3,1083596,15
3,1083868,14
3,1084140,14
3,1084412,15
3,1084692,14
3,1084964,15
3,1085236,14
3,1085508,14
3,1085780,14
3,1086052,15
3,1086324,14
3,1086596,15
3,1086868,14
3,1087140,13
3,1087412,16
3,1087684,14
3,1087956,15
3,1088228,14
3,1088500,14
3,1088796,15
3,1089068,15
3,1089340,14
3,1089612,14
3,1089884,14
3,1090156,14
3,1090428,15
3,1090700,14
3,1090972,14
3,1091244,15
3,1091516,14
3,1091788,14
3,1092060,14
3,1092332,14
3,1092604,15
3,1092884,14
3,1093156,15
3,1093428,15
3,1093700,13
3,1093972,15
3,1094244,14
3,1094516,14
3,1094788,15
3,1095060,13
3,1095332,15
3,1095604,15
3,1095876,13
3,1096148,15
3,1096420,15
3,1096692,14
3,1096988,15
3,1097260,15
3,1097532,14
3,1097804,15
3,1098076,13
3,1098348,12
3,1098620,15
3,1098892,15
3,1099164,14
3,1099436,15
3,1099708,14
3,1099980,14
3,1100252,15
3,1100524,13
3,1100796,14
3,1101076,14
3,1101348,14
3,1101620,15
3,1101892,15
3,1102164,13
3,1102436,16
3,1102708,14
3,1102980,15
3,1103252,15
3,1103524,13
3,1103796,14
3,1104068,14
3,1104340,14
3,1104612,15
3,1104884,13
3,1105180,14
3,1105452,15
3,1105724,14
3,1105996,14
3,1106268,14
3,1106540,15
3,1106812,16
3,1107084,17
3,1107356,19
3,1107628,24
3,1107900,27
3,1108172,27
3,1108444,29
3,1108716,34
3,1108988,43
3,1109268,57
3,1109540,75
3,1109812,96
3,1110084,110
3,1110356,129
3,1110628,150
3,1110900,159
3,1111172,176
3,1111444,189
3,1111716,185
3,1111988,206
3,1112260,213
3,1112532,216
3,1112804,230
3,1113076,229
3,1113372,237
3,1113644,243
3,1113916,242
3,1114188,244
3,1114460,256
3,1114732,249
3,1115004,252
3,1115276,261
3,1115548,254
3,1115820,261
3,1116092,264
3,1116364,256
3,1116636,265
3,1116908,266
3,1117180,257
3,1117460,263
3,1117732,260
3,1118004,271
3,1118276,265
3,1118548,265
3,1118820,273
3,1119092,266
3,1119364,269
3,1119636,274
3,1119908,265
3,1120180,271
3,1120452,276
3,1120724,267
3,1120996,275
3,1121268,273
3,1121564,273
3,1121836,274
3,1122108,275
3,1122380,268
3,1122652,268
3,1122924,268
3,1123196,266
3,1123468,274
3,1123740,264
3,1124012,257
3,1124284,240
3,1124556,197
3,1124828,162
3,1125100,125
3,1125372,89
3,1125652,65
3,1125924,47
3,1126196,38
3,1126468,30
3,1126740,25
3,1127012,26
3,1127284,22
3,1127556,20
3,1127828,20
3,1128100,18
3,1128372,18
3,1128644,19
3,1128916,18
3,1129188,18
3,1129460,18
3,1129756,18
3,1130028,18
3,1130300,19
3,1130572,18
3,1130844,21
3,1131116,18
3,1131388,17
