Experiment: DisplayExperiment
Date: 30.08.2018
Time: 18:23:28
Width: 1920
Height: 1080
Depth: 32
Rate: 60
Monitors: BNQ_BQ XL411_H6E00549SL0
Trials: 100

Trial,Time,SensorBrightness
2,1587932,3
2,1588204,14
2,1588500,30
2,1588772,30
2,1589044,30
2,1589316,30
2,1589588,30
2,1589860,23
2,1590132,4
2,1590404,4
2,1590676,5
2,1590948,3
2,1591220,5
2,1591492,3
2,1591764,5
2,1592036,4
2,1592308,3
2,1592604,4
2,1592876,5
2,1593148,3
2,1593420,4
2,1593692,4
2,1593964,4
2,1594236,4
2,1594508,3
2,1594780,4
2,1595052,3
2,1595324,3
2,1595596,3
2,1595868,5
2,1596140,4
2,1596412,4
2,1596692,30
2,1596964,29
2,1597236,29
2,1597508,30
2,1597780,30
2,1598052,30
2,1598324,5
2,1598596,4
2,1598868,5
2,1599140,3
2,1599412,3
2,1599684,4
2,1599956,4
2,1600228,4
2,1600500,3
2,1600796,4
2,1601068,3
2,1601340,3
2,1601612,4
2,1601884,4
2,1602156,5
2,1602428,3
2,1602700,4
2,1602972,4
2,1603244,4
2,1603516,3
2,1603788,5
2,1604060,4
2,1604332,4
2,1604604,4
2,1604884,25
2,1605156,45
2,1605428,49
2,1605700,49
2,1605972,52
2,1606244,64
2,1606516,39
2,1606788,4
2,1607060,4
2,1607332,4
2,1607604,5
2,1607876,4
2,1608148,4
2,1608420,4
2,1608692,3
2,1608988,4
2,1609260,3
2,1609532,4
2,1609804,4
2,1610076,4
2,1610348,4
2,1610620,4
2,1610892,3
2,1611164,3
2,1611436,5
2,1611708,4
2,1611980,5
2,1612252,3
2,1612524,4
2,1612796,4
2,1613076,3
2,1613348,859
2,1613620,860
2,1613892,859
2,1614164,860
2,1614436,860
2,1614708,860
2,1614980,450
2,1615252,19
2,1615524,11
2,1615796,7
2,1616068,5
2,1616340,5
2,1616612,4
2,1616884,4
2,1617180,4
2,1617452,3
2,1617724,3
2,1617996,4
2,1618268,4
2,1618540,4
2,1618812,4
2,1619084,4
2,1619356,4
2,1619628,5
2,1619900,4
2,1620172,3
2,1620444,4
2,1620716,4
2,1620988,4
2,1621268,4
2,1621540,430
2,1621812,859
2,1622084,860
2,1622356,860
2,1622628,860
2,1622900,860
2,1623172,860
2,1623444,29
2,1623716,15
2,1623988,8
2,1624260,5
2,1624532,5
2,1624804,4
2,1625076,4
2,1625372,5
2,1625644,3
2,1625916,3
2,1626188,4
2,1626460,4
2,1626732,4
2,1627004,4
2,1627276,4
2,1627548,5
2,1627820,4
2,1628092,3
2,1628364,3
2,1628636,3
2,1628908,3
2,1629180,5
2,1629460,3
2,1629732,4
2,1630004,860
2,1630276,860
2,1630548,860
2,1630820,860
2,1631092,859
2,1631364,860
2,1631636,450
2,1631908,19
2,1632180,9
2,1632452,7
2,1632724,4
2,1632996,5
2,1633268,4
2,1633564,4
2,1633836,2
2,1634108,4
2,1634380,4
2,1634652,4
2,1634924,4
2,1635196,4
2,1635468,4
2,1635740,3
2,1636012,4
2,1636284,4
2,1636556,5
2,1636828,4
2,1637100,3
2,1637372,4
2,1637652,4
2,1637924,4
2,1638196,433
2,1638468,860
2,1638740,860
2,1639012,859
2,1639284,860
2,1639556,860
2,1639828,860
2,1640100,29
2,1640372,13
2,1640644,7
2,1640916,6
2,1641188,4
2,1641460,4
2,1641756,4
2,1642028,3
2,1642300,4
3,1758740,3
3,1759012,4
3,1759284,4
3,1759556,4
3,1759828,4
3,1760100,3
3,1760380,3
3,1760652,4
3,1760924,4
3,1761196,4
3,1761468,4
3,1761740,4
3,1762012,3
3,1762284,3
3,1762580,4
3,1762852,3
3,1763124,28
3,1763396,30
3,1763668,31
3,1763940,30
3,1764212,29
3,1764484,30
3,1764756,10
3,1765028,4
3,1765300,4
3,1765572,4
3,1765844,4
3,1766116,4
3,1766388,4
3,1766684,3
3,1766956,4
3,1767228,5
3,1767500,4
3,1767772,3
3,1768044,4
3,1768316,3
3,1768588,3
3,1768860,2
3,1769132,5
3,1769404,4
3,1769676,4
3,1769948,4
3,1770220,4
3,1770492,4
3,1770772,3
3,1771044,4
3,1771316,21
3,1771588,44
3,1771860,49
3,1772132,50
3,1772404,51
3,1772676,61
3,1772948,81
3,1773220,5
3,1773492,4
3,1773764,4
3,1774036,4
3,1774308,4
3,1774580,4
3,1774876,4
3,1775148,5
3,1775420,4
3,1775692,3
3,1775964,4
3,1776236,4
3,1776508,4
3,1776780,5
3,1777052,3
3,1777324,6
3,1777596,4
3,1777868,4
3,1778140,4
3,1778412,4
3,1778684,4
3,1778964,4
3,1779236,5
3,1779508,4
3,1779780,860
3,1780052,860
3,1780324,858
3,1780596,860
3,1780868,859
3,1781140,860
3,1781412,462
3,1781684,21
3,1781956,11
3,1782228,7
3,1782500,5
3,1782772,4
3,1783068,4
3,1783340,4
3,1783612,4
3,1783884,4
3,1784156,3
3,1784428,3
3,1784700,3
3,1784972,3
3,1785244,3
3,1785516,4
3,1785788,4
3,1786060,4
3,1786332,4
3,1786604,3
3,1786876,4
3,1787156,4
3,1787428,5
3,1787700,4
3,1787972,432
3,1788244,860
3,1788516,859
3,1788788,859
3,1789060,860
3,1789332,861
3,1789604,859
3,1789876,33
3,1790148,15
3,1790420,9
3,1790692,6
3,1790964,3
3,1791260,4
3,1791532,5
3,1791804,4
3,1792076,3
3,1792348,4
3,1792620,4
3,1792892,4
3,1793164,3
3,1793436,5
3,1793708,5
3,1793980,4
3,1794252,4
3,1794524,4
3,1794796,4
3,1795068,4
3,1795348,4
3,1795620,3
3,1795892,4
3,1796164,4
3,1796436,860
3,1796708,860
3,1796980,860
3,1797252,860
3,1797524,856
3,1797796,859
3,1798068,459
3,1798340,21
3,1798612,10
3,1798884,6
3,1799156,4
3,1799452,4
3,1799724,3
3,1799996,4
3,1800268,5
3,1800540,4
3,1800812,4
3,1801084,5
3,1801356,3
3,1801628,5
3,1801900,4
3,1802172,4
3,1802444,4
3,1802716,4
3,1802988,4
3,1803260,4
3,1803540,4
3,1803812,4
3,1804084,5
3,1804356,3
3,1804628,429
3,1804900,860
3,1805172,860
3,1805444,860
3,1805716,860
3,1805988,860
3,1806260,860
3,1806532,32
3,1806804,14
3,1807076,8
3,1807348,4
3,1807644,4
3,1807916,4
3,1808188,4
3,1808460,4
3,1808732,3
3,1809004,3
3,1809276,3
3,1809548,3
3,1809820,6
3,1810092,3
3,1810364,4
3,1810636,4
3,1810908,4
3,1811180,4
3,1811452,4
3,1811732,3
3,1812004,3
3,1812276,4
3,1812548,4
3,1812820,5
3,1813092,860
4,1895556,3
4,1895828,4
4,1896100,4
4,1896372,30
4,1896644,29
4,1896916,30
4,1897188,30
4,1897460,29
4,1897756,30
4,1898028,4
4,1898300,4
4,1898572,3
4,1898844,4
4,1899116,3
4,1899388,4
4,1899660,4
4,1899932,5
4,1900204,4
4,1900476,4
4,1900748,4
4,1901020,4
4,1901292,3
4,1901564,5
4,1901844,4
4,1902116,3
4,1902388,5
4,1902660,3
4,1902932,3
4,1903204,3
4,1903476,4
4,1903748,4
4,1904020,5
4,1904292,4
4,1904564,25
4,1904836,44
4,1905108,50
4,1905380,51
4,1905652,53
4,1905948,66
4,1906220,29
4,1906492,5
4,1906764,3
4,1907036,4
4,1907308,4
4,1907580,4
4,1907852,3
4,1908124,5
4,1908396,4
4,1908668,4
4,1908940,4
4,1909212,4
4,1909484,4
4,1909756,5
4,1910036,4
4,1910308,4
4,1910580,5
4,1910852,4
4,1911124,3
4,1911396,4
4,1911668,3
4,1911940,3
4,1912212,6
4,1912484,4
4,1912756,4
4,1913028,860
4,1913300,860
4,1913572,860
4,1913844,859
4,1914140,859
4,1914412,859
4,1914684,54
4,1914956,17
4,1915228,8
4,1915500,6
4,1915772,4
4,1916044,5
4,1916316,4
4,1916588,4
4,1916860,4
4,1917132,4
4,1917404,4
4,1917676,3
4,1917948,4
4,1918228,4
4,1918500,3
4,1918772,4
4,1919044,4
4,1919316,4
4,1919588,3
4,1919860,4
4,1920132,3
4,1920404,5
4,1920676,4
4,1920948,4
4,1921220,431
4,1921492,860
4,1921764,859
4,1922036,860
4,1922332,860
4,1922604,860
4,1922876,860
4,1923148,23
4,1923420,11
4,1923692,6
4,1923964,4
4,1924236,4
4,1924508,6
4,1924780,4
4,1925052,4
4,1925324,4
4,1925596,4
4,1925868,5
4,1926140,4
4,1926420,3
4,1926692,4
4,1926964,4
4,1927236,4
4,1927508,4
4,1927780,4
4,1928052,4
4,1928324,5
4,1928596,3
4,1928868,4
4,1929140,4
4,1929412,4
4,1929684,859
4,1929956,859
4,1930228,860
4,1930524,860
4,1930796,860
4,1931068,860
4,1931340,59
4,1931612,15
4,1931884,9
4,1932156,6
4,1932428,5
4,1932700,2
4,1932972,4
4,1933244,4
4,1933516,4
4,1933788,4
4,1934060,4
4,1934332,4
4,1934612,4
4,1934884,5
4,1935156,3
4,1935428,4
4,1935700,4
4,1935972,5
4,1936244,4
4,1936516,4
4,1936788,4
4,1937060,4
4,1937332,4
4,1937604,4
4,1937876,527
4,1938148,861
4,1938420,861
4,1938716,860
4,1938988,860
4,1939260,859
4,1939532,697
4,1939804,23
4,1940076,11
4,1940348,6
4,1940620,5
4,1940892,4
4,1941164,4
4,1941436,4
4,1941708,4
4,1941980,4
4,1942252,3
4,1942524,4
4,1942804,4
4,1943076,4
4,1943348,5
4,1943620,4
4,1943892,3
4,1944164,4
4,1944436,4
4,1944708,4
4,1944980,4
4,1945252,4
4,1945524,4
4,1945796,4
4,1946068,3
4,1946340,859
4,1946612,859
4,1946908,860
4,1947180,859
4,1947452,860
4,1947724,860
4,1947996,46
4,1948268,14
4,1948540,9
4,1948812,5
4,1949084,4
4,1949356,4
4,1949628,4
4,1949900,4
5,2057348,3
5,2057620,3
5,2057892,3
5,2058164,4
5,2058436,4
5,2058708,3
5,2058980,3
5,2059252,3
5,2059548,4
5,2059820,4
5,2060092,4
5,2060364,3
5,2060636,4
5,2060908,4
5,2061180,3
5,2061452,3
5,2061724,3
5,2061996,4
5,2062268,3
5,2062540,4
5,2062812,29
5,2063084,30
5,2063356,29
5,2063636,29
5,2063908,30
5,2064180,29
5,2064452,4
5,2064724,3
5,2064996,3
5,2065268,3
5,2065540,3
5,2065812,4
5,2066084,3
5,2066356,2
5,2066628,3
5,2066900,4
5,2067172,4
5,2067444,4
5,2067740,4
5,2068012,4
5,2068284,4
5,2068556,4
5,2068828,3
5,2069100,3
5,2069372,3
5,2069644,3
5,2069916,3
5,2070188,4
5,2070460,4
5,2070732,3
5,2071004,22
5,2071276,41
5,2071548,48
5,2071828,51
5,2072100,53
5,2072372,63
5,2072644,27
5,2072916,3
5,2073188,3
5,2073460,3
5,2073732,3
5,2074004,4
5,2074276,4
5,2074548,4
5,2074820,3
5,2075092,4
5,2075364,4
5,2075636,2
5,2075932,4
5,2076204,4
5,2076476,4
5,2076748,4
5,2077020,3
5,2077292,4
5,2077564,4
5,2077836,4
5,2078108,5
5,2078380,3
5,2078652,4
5,2078924,4
5,2079196,4
5,2079468,860
5,2079740,861
5,2080020,860
5,2080292,860
5,2080564,859
5,2080836,859
5,2081108,447
5,2081380,18
5,2081652,10
5,2081924,6
